"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1517,6,1555,2021-10-01
"20 - 24",2,552,3,557,2021-10-01
"25 - 29",7,905,2,914,2021-10-01
"30 - 34",12,1306,11,1329,2021-10-01
"35 - 39",15,1492,10,1517,2021-10-01
"40 - 44",15,1867,13,1895,2021-10-01
"45 - 49",12,3031,28,3071,2021-10-01
"50 - 54",27,4671,77,4775,2021-10-01
"55 - 59",25,5640,133,5798,2021-10-01
"60 - 64",23,5620,247,5890,2021-10-01
"65 - 69",27,5498,520,6045,2021-10-01
"70 - 74",26,6446,1089,7561,2021-10-01
"75 - 79",34,6047,1789,7870,2021-10-01
"80 - 84",44,4728,2047,6819,2021-10-01
"85 - 89",19,2920,1498,4437,2021-10-01
">90",10,1286,631,1927,2021-10-01
