"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",55,4172,15,4242,2022-09-21
"20 - 24",6,1128,3,1137,2022-09-21
"25 - 29",12,1928,3,1943,2022-09-21
"30 - 34",14,2630,16,2660,2022-09-21
"35 - 39",14,2672,17,2703,2022-09-21
"40 - 44",18,2945,23,2986,2022-09-21
"45 - 49",11,4239,45,4295,2022-09-21
"50 - 54",35,6512,120,6667,2022-09-21
"55 - 59",38,8004,208,8250,2022-09-21
"60 - 64",49,8634,406,9089,2022-09-21
"65 - 69",75,9054,803,9932,2022-09-21
"70 - 74",104,10908,1608,12620,2022-09-21
"75 - 79",122,10973,2702,13797,2022-09-21
"80 - 84",124,9337,3120,12581,2022-09-21
"85 - 89",86,6320,2410,8816,2022-09-21
">90",43,3030,1129,4202,2022-09-21
