"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,1453,6,1486,2021-09-04
"20 - 24",2,535,3,540,2021-09-04
"25 - 29",13,873,2,888,2021-09-04
"30 - 34",18,1253,11,1282,2021-09-04
"35 - 39",15,1435,10,1460,2021-09-04
"40 - 44",24,1792,13,1829,2021-09-04
"45 - 49",20,2957,26,3003,2021-09-04
"50 - 54",35,4587,77,4699,2021-09-04
"55 - 59",36,5555,131,5722,2021-09-04
"60 - 64",30,5532,243,5805,2021-09-04
"65 - 69",34,5420,514,5968,2021-09-04
"70 - 74",46,6367,1075,7488,2021-09-04
"75 - 79",56,5969,1759,7784,2021-09-04
"80 - 84",44,4647,2022,6713,2021-09-04
"85 - 89",29,2866,1480,4375,2021-09-04
">90",11,1265,622,1898,2021-09-04
