"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,1935,11,2006,2021-12-15
"20 - 24",7,665,3,675,2021-12-15
"25 - 29",25,1112,2,1139,2021-12-15
"30 - 34",34,1610,12,1656,2021-12-15
"35 - 39",35,1808,11,1854,2021-12-15
"40 - 44",42,2180,16,2238,2021-12-15
"45 - 49",48,3428,30,3506,2021-12-15
"50 - 54",115,5186,86,5387,2021-12-15
"55 - 59",105,6255,154,6514,2021-12-15
"60 - 64",159,6415,286,6860,2021-12-15
"65 - 69",183,6343,606,7132,2021-12-15
"70 - 74",264,7448,1277,8989,2021-12-15
"75 - 79",326,7160,2144,9630,2021-12-15
"80 - 84",264,5753,2522,8539,2021-12-15
"85 - 89",180,3663,1874,5717,2021-12-15
">90",77,1626,809,2512,2021-12-15
