"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",84,3581,11,3676,2022-04-12
"20 - 24",4,1028,3,1035,2022-04-12
"25 - 29",19,1748,3,1770,2022-04-12
"30 - 34",22,2437,15,2474,2022-04-12
"35 - 39",27,2504,14,2545,2022-04-12
"40 - 44",24,2769,22,2815,2022-04-12
"45 - 49",37,4026,41,4104,2022-04-12
"50 - 54",58,6159,110,6327,2022-04-12
"55 - 59",85,7482,188,7755,2022-04-12
"60 - 64",116,7916,365,8397,2022-04-12
"65 - 69",160,8050,741,8951,2022-04-12
"70 - 74",208,9586,1514,11308,2022-04-12
"75 - 79",251,9347,2537,12135,2022-04-12
"80 - 84",210,7828,2951,10989,2022-04-12
"85 - 89",167,5119,2239,7525,2022-04-12
">90",88,2364,1009,3461,2022-04-12
