"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1619,6,1659,2021-10-30
"20 - 24",5,573,3,581,2021-10-30
"25 - 29",13,938,2,953,2021-10-30
"30 - 34",17,1370,11,1398,2021-10-30
"35 - 39",20,1545,10,1575,2021-10-30
"40 - 44",18,1920,13,1951,2021-10-30
"45 - 49",17,3106,28,3151,2021-10-30
"50 - 54",29,4754,77,4860,2021-10-30
"55 - 59",41,5740,138,5919,2021-10-30
"60 - 64",58,5713,252,6023,2021-10-30
"65 - 69",64,5591,525,6180,2021-10-30
"70 - 74",92,6549,1103,7744,2021-10-30
"75 - 79",120,6156,1804,8080,2021-10-30
"80 - 84",128,4838,2087,7053,2021-10-30
"85 - 89",90,2984,1528,4602,2021-10-30
">90",42,1323,652,2017,2021-10-30
