"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4530,16,4615,2022-12-14
"20 - 24",3,1184,4,1191,2022-12-14
"25 - 29",16,2007,3,2026,2022-12-14
"30 - 34",12,2734,16,2762,2022-12-14
"35 - 39",13,2783,18,2814,2022-12-14
"40 - 44",19,3048,24,3091,2022-12-14
"45 - 49",18,4347,47,4412,2022-12-14
"50 - 54",34,6717,124,6875,2022-12-14
"55 - 59",58,8307,220,8585,2022-12-14
"60 - 64",51,9086,424,9561,2022-12-14
"65 - 69",95,9684,838,10617,2022-12-14
"70 - 74",100,11755,1670,13525,2022-12-14
"75 - 79",137,12089,2817,15043,2022-12-14
"80 - 84",134,10436,3237,13807,2022-12-14
"85 - 89",107,7134,2512,9753,2022-12-14
">90",51,3458,1196,4705,2022-12-14
