"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",93,3066,11,3170,2022-03-08
"20 - 24",10,948,3,961,2022-03-08
"25 - 29",37,1572,3,1612,2022-03-08
"30 - 34",29,2219,13,2261,2022-03-08
"35 - 39",28,2324,13,2365,2022-03-08
"40 - 44",34,2617,21,2672,2022-03-08
"45 - 49",28,3873,37,3938,2022-03-08
"50 - 54",80,5884,100,6064,2022-03-08
"55 - 59",88,7111,176,7375,2022-03-08
"60 - 64",118,7398,345,7861,2022-03-08
"65 - 69",135,7388,703,8226,2022-03-08
"70 - 74",200,8770,1432,10402,2022-03-08
"75 - 79",213,8446,2424,11083,2022-03-08
"80 - 84",194,6898,2836,9928,2022-03-08
"85 - 89",153,4448,2125,6726,2022-03-08
">90",63,1991,933,2987,2022-03-08
