"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",92,2471,13,2576,2022-02-02
"20 - 24",22,798,3,823,2022-02-02
"25 - 29",36,1350,3,1389,2022-02-02
"30 - 34",40,1910,13,1963,2022-02-02
"35 - 39",47,2078,12,2137,2022-02-02
"40 - 44",32,2415,19,2466,2022-02-02
"45 - 49",37,3685,32,3754,2022-02-02
"50 - 54",68,5593,95,5756,2022-02-02
"55 - 59",75,6754,168,6997,2022-02-02
"60 - 64",88,6993,327,7408,2022-02-02
"65 - 69",107,6934,671,7712,2022-02-02
"70 - 74",148,8179,1380,9707,2022-02-02
"75 - 79",167,7929,2331,10427,2022-02-02
"80 - 84",151,6379,2723,9253,2022-02-02
"85 - 89",123,4039,2025,6187,2022-02-02
">90",45,1816,877,2738,2022-02-02
