"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,4954,19,5034,2023-03-27
"20 - 24",4,1228,4,1236,2023-03-27
"25 - 29",11,2091,3,2105,2023-03-27
"30 - 34",19,2845,18,2882,2023-03-27
"35 - 39",15,2892,19,2926,2023-03-27
"40 - 44",16,3164,25,3205,2023-03-27
"45 - 49",19,4497,50,4566,2023-03-27
"50 - 54",41,6974,129,7144,2023-03-27
"55 - 59",69,8656,244,8969,2023-03-27
"60 - 64",75,9637,443,10155,2023-03-27
"65 - 69",109,10501,887,11497,2023-03-27
"70 - 74",170,12839,1753,14762,2023-03-27
"75 - 79",218,13446,2948,16612,2023-03-27
"80 - 84",207,11822,3398,15427,2023-03-27
"85 - 89",191,8198,2665,11054,2023-03-27
">90",77,4033,1290,5400,2023-03-27
