"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,4133,16,4207,2022-09-09
"20 - 24",4,1125,3,1132,2022-09-09
"25 - 29",14,1917,3,1934,2022-09-09
"30 - 34",14,2623,16,2653,2022-09-09
"35 - 39",10,2661,17,2688,2022-09-09
"40 - 44",18,2935,23,2976,2022-09-09
"45 - 49",16,4226,45,4287,2022-09-09
"50 - 54",44,6487,118,6649,2022-09-09
"55 - 59",38,7978,208,8224,2022-09-09
"60 - 64",45,8607,406,9058,2022-09-09
"65 - 69",74,9020,796,9890,2022-09-09
"70 - 74",87,10857,1608,12552,2022-09-09
"75 - 79",119,10889,2700,13708,2022-09-09
"80 - 84",115,9254,3116,12485,2022-09-09
"85 - 89",82,6267,2400,8749,2022-09-09
">90",39,2991,1128,4158,2022-09-09
