"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,3717,12,3797,2022-05-23
"20 - 24",5,1046,3,1054,2022-05-23
"25 - 29",12,1793,3,1808,2022-05-23
"30 - 34",11,2492,15,2518,2022-05-23
"35 - 39",11,2545,16,2572,2022-05-23
"40 - 44",13,2807,22,2842,2022-05-23
"45 - 49",17,4080,41,4138,2022-05-23
"50 - 54",41,6268,113,6422,2022-05-23
"55 - 59",41,7632,198,7871,2022-05-23
"60 - 64",50,8130,381,8561,2022-05-23
"65 - 69",74,8340,758,9172,2022-05-23
"70 - 74",89,9975,1539,11603,2022-05-23
"75 - 79",123,9754,2592,12469,2022-05-23
"80 - 84",106,8204,3003,11313,2022-05-23
"85 - 89",78,5437,2285,7800,2022-05-23
">90",44,2523,1049,3616,2022-05-23
