"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1446,6,1485,2021-09-02
"20 - 24",7,528,3,538,2021-09-02
"25 - 29",16,867,2,885,2021-09-02
"30 - 34",17,1247,11,1275,2021-09-02
"35 - 39",15,1433,10,1458,2021-09-02
"40 - 44",28,1787,13,1828,2021-09-02
"45 - 49",20,2948,26,2994,2021-09-02
"50 - 54",38,4579,77,4694,2021-09-02
"55 - 59",33,5550,131,5714,2021-09-02
"60 - 64",29,5526,243,5798,2021-09-02
"65 - 69",35,5411,514,5960,2021-09-02
"70 - 74",42,6365,1074,7481,2021-09-02
"75 - 79",56,5964,1757,7777,2021-09-02
"80 - 84",43,4642,2020,6705,2021-09-02
"85 - 89",34,2864,1479,4377,2021-09-02
">90",12,1264,622,1898,2021-09-02
