"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1540,6,1576,2021-10-09
"20 - 24",2,555,3,560,2021-10-09
"25 - 29",13,911,2,926,2021-10-09
"30 - 34",10,1318,11,1339,2021-10-09
"35 - 39",14,1509,10,1533,2021-10-09
"40 - 44",16,1879,13,1908,2021-10-09
"45 - 49",18,3047,28,3093,2021-10-09
"50 - 54",28,4693,77,4798,2021-10-09
"55 - 59",28,5660,133,5821,2021-10-09
"60 - 64",24,5632,248,5904,2021-10-09
"65 - 69",30,5514,521,6065,2021-10-09
"70 - 74",37,6466,1091,7594,2021-10-09
"75 - 79",38,6066,1792,7896,2021-10-09
"80 - 84",43,4745,2054,6842,2021-10-09
"85 - 89",25,2934,1499,4458,2021-10-09
">90",11,1291,635,1937,2021-10-09
