"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4479,16,4561,2022-12-02
"20 - 24",3,1182,4,1189,2022-12-02
"25 - 29",13,1999,3,2015,2022-12-02
"30 - 34",15,2722,16,2753,2022-12-02
"35 - 39",13,2774,18,2805,2022-12-02
"40 - 44",17,3034,24,3075,2022-12-02
"45 - 49",19,4332,47,4398,2022-12-02
"50 - 54",43,6691,124,6858,2022-12-02
"55 - 59",61,8265,220,8546,2022-12-02
"60 - 64",67,9023,420,9510,2022-12-02
"65 - 69",98,9609,833,10540,2022-12-02
"70 - 74",111,11664,1657,13432,2022-12-02
"75 - 79",163,11971,2803,14937,2022-12-02
"80 - 84",132,10309,3230,13671,2022-12-02
"85 - 89",114,7034,2498,9646,2022-12-02
">90",46,3418,1193,4657,2022-12-02
