"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",53,2046,10,2109,2022-01-01
"20 - 24",7,686,3,696,2022-01-01
"25 - 29",19,1159,3,1181,2022-01-01
"30 - 34",15,1694,13,1722,2022-01-01
"35 - 39",30,1893,11,1934,2022-01-01
"40 - 44",25,2261,17,2303,2022-01-01
"45 - 49",34,3531,30,3595,2022-01-01
"50 - 54",81,5352,89,5522,2022-01-01
"55 - 59",85,6456,160,6701,2022-01-01
"60 - 64",102,6665,306,7073,2022-01-01
"65 - 69",132,6652,639,7423,2022-01-01
"70 - 74",185,7800,1340,9325,2022-01-01
"75 - 79",210,7520,2240,9970,2022-01-01
"80 - 84",154,6060,2631,8845,2022-01-01
"85 - 89",101,3840,1956,5897,2022-01-01
">90",33,1716,842,2591,2022-01-01
