"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,1414,6,1446,2021-08-23
"20 - 24",5,509,3,517,2021-08-23
"25 - 29",11,843,2,856,2021-08-23
"30 - 34",20,1216,11,1247,2021-08-23
"35 - 39",25,1393,10,1428,2021-08-23
"40 - 44",25,1750,12,1787,2021-08-23
"45 - 49",25,2915,26,2966,2021-08-23
"50 - 54",38,4534,77,4649,2021-08-23
"55 - 59",42,5497,130,5669,2021-08-23
"60 - 64",35,5490,243,5768,2021-08-23
"65 - 69",36,5373,512,5921,2021-08-23
"70 - 74",48,6308,1069,7425,2021-08-23
"75 - 79",47,5926,1741,7714,2021-08-23
"80 - 84",52,4604,1990,6646,2021-08-23
"85 - 89",27,2840,1465,4332,2021-08-23
">90",18,1245,613,1876,2021-08-23
