"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",90,3994,14,4098,2022-07-29
"20 - 24",11,1103,3,1117,2022-07-29
"25 - 29",23,1873,3,1899,2022-07-29
"30 - 34",17,2575,15,2607,2022-07-29
"35 - 39",13,2620,17,2650,2022-07-29
"40 - 44",20,2890,22,2932,2022-07-29
"45 - 49",25,4179,45,4249,2022-07-29
"50 - 54",36,6411,115,6562,2022-07-29
"55 - 59",51,7864,202,8117,2022-07-29
"60 - 64",89,8434,398,8921,2022-07-29
"65 - 69",109,8778,778,9665,2022-07-29
"70 - 74",158,10506,1572,12236,2022-07-29
"75 - 79",195,10438,2657,13290,2022-07-29
"80 - 84",168,8847,3068,12083,2022-07-29
"85 - 89",136,5954,2343,8433,2022-07-29
">90",83,2807,1096,3986,2022-07-29
