"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4313,15,4397,2022-10-26
"20 - 24",8,1148,4,1160,2022-10-26
"25 - 29",16,1958,3,1977,2022-10-26
"30 - 34",17,2675,16,2708,2022-10-26
"35 - 39",15,2717,17,2749,2022-10-26
"40 - 44",23,2989,23,3035,2022-10-26
"45 - 49",21,4287,46,4354,2022-10-26
"50 - 54",43,6605,121,6769,2022-10-26
"55 - 59",57,8140,213,8410,2022-10-26
"60 - 64",83,8823,411,9317,2022-10-26
"65 - 69",144,9351,817,10312,2022-10-26
"70 - 74",164,11310,1635,13109,2022-10-26
"75 - 79",226,11498,2758,14482,2022-10-26
"80 - 84",209,9884,3184,13277,2022-10-26
"85 - 89",174,6721,2458,9353,2022-10-26
">90",66,3245,1166,4477,2022-10-26
