"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4110,16,4186,2022-08-30
"20 - 24",6,1122,3,1131,2022-08-30
"25 - 29",13,1915,3,1931,2022-08-30
"30 - 34",12,2621,16,2649,2022-08-30
"35 - 39",10,2654,17,2681,2022-08-30
"40 - 44",20,2924,23,2967,2022-08-30
"45 - 49",21,4215,45,4281,2022-08-30
"50 - 54",39,6476,118,6633,2022-08-30
"55 - 59",42,7951,207,8200,2022-08-30
"60 - 64",50,8588,406,9044,2022-08-30
"65 - 69",69,8983,793,9845,2022-08-30
"70 - 74",109,10801,1603,12513,2022-08-30
"75 - 79",139,10806,2693,13638,2022-08-30
"80 - 84",116,9191,3109,12416,2022-08-30
"85 - 89",88,6221,2392,8701,2022-08-30
">90",31,2975,1124,4130,2022-08-30
