"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4435,17,4516,2022-11-16
"20 - 24",5,1176,4,1185,2022-11-16
"25 - 29",11,1989,3,2003,2022-11-16
"30 - 34",12,2711,16,2739,2022-11-16
"35 - 39",16,2763,17,2796,2022-11-16
"40 - 44",19,3019,24,3062,2022-11-16
"45 - 49",14,4321,47,4382,2022-11-16
"50 - 54",45,6670,123,6838,2022-11-16
"55 - 59",45,8233,219,8497,2022-11-16
"60 - 64",64,8961,414,9439,2022-11-16
"65 - 69",92,9539,829,10460,2022-11-16
"70 - 74",128,11557,1652,13337,2022-11-16
"75 - 79",176,11821,2788,14785,2022-11-16
"80 - 84",150,10170,3212,13532,2022-11-16
"85 - 89",110,6953,2484,9547,2022-11-16
">90",58,3359,1183,4600,2022-11-16
