"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",63,4337,16,4416,2022-10-31
"20 - 24",7,1154,4,1165,2022-10-31
"25 - 29",14,1962,3,1979,2022-10-31
"30 - 34",17,2678,16,2711,2022-10-31
"35 - 39",20,2721,17,2758,2022-10-31
"40 - 44",22,2998,24,3044,2022-10-31
"45 - 49",19,4293,46,4358,2022-10-31
"50 - 54",47,6614,120,6781,2022-10-31
"55 - 59",58,8164,215,8437,2022-10-31
"60 - 64",82,8855,411,9348,2022-10-31
"65 - 69",128,9403,819,10350,2022-10-31
"70 - 74",153,11379,1638,13170,2022-10-31
"75 - 79",217,11578,2765,14560,2022-10-31
"80 - 84",194,9961,3192,13347,2022-10-31
"85 - 89",163,6782,2466,9411,2022-10-31
">90",65,3271,1173,4509,2022-10-31
