"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",102,3947,14,4063,2022-07-22
"20 - 24",11,1097,3,1111,2022-07-22
"25 - 29",21,1858,3,1882,2022-07-22
"30 - 34",17,2563,15,2595,2022-07-22
"35 - 39",12,2608,17,2637,2022-07-22
"40 - 44",21,2873,22,2916,2022-07-22
"45 - 49",26,4159,44,4229,2022-07-22
"50 - 54",39,6386,115,6540,2022-07-22
"55 - 59",58,7825,201,8084,2022-07-22
"60 - 64",91,8377,395,8863,2022-07-22
"65 - 69",118,8703,771,9592,2022-07-22
"70 - 74",158,10420,1567,12145,2022-07-22
"75 - 79",216,10302,2643,13161,2022-07-22
"80 - 84",189,8737,3053,11979,2022-07-22
"85 - 89",146,5871,2329,8346,2022-07-22
">90",84,2754,1090,3928,2022-07-22
