"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",53,1663,9,1725,2021-11-14
"20 - 24",4,593,3,600,2021-11-14
"25 - 29",22,976,2,1000,2021-11-14
"30 - 34",17,1423,11,1451,2021-11-14
"35 - 39",31,1595,10,1636,2021-11-14
"40 - 44",32,1980,14,2026,2021-11-14
"45 - 49",33,3172,28,3233,2021-11-14
"50 - 54",60,4831,78,4969,2021-11-14
"55 - 59",68,5831,140,6039,2021-11-14
"60 - 64",94,5851,258,6203,2021-11-14
"65 - 69",115,5737,537,6389,2021-11-14
"70 - 74",165,6719,1134,8018,2021-11-14
"75 - 79",216,6370,1873,8459,2021-11-14
"80 - 84",232,5024,2152,7408,2021-11-14
"85 - 89",161,3132,1597,4890,2021-11-14
">90",70,1386,687,2143,2021-11-14
