"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,4117,16,4189,2022-09-02
"20 - 24",6,1122,3,1131,2022-09-02
"25 - 29",13,1916,3,1932,2022-09-02
"30 - 34",12,2620,16,2648,2022-09-02
"35 - 39",12,2656,17,2685,2022-09-02
"40 - 44",16,2929,23,2968,2022-09-02
"45 - 49",17,4220,45,4282,2022-09-02
"50 - 54",36,6482,118,6636,2022-09-02
"55 - 59",43,7956,207,8206,2022-09-02
"60 - 64",47,8594,405,9046,2022-09-02
"65 - 69",68,8997,794,9859,2022-09-02
"70 - 74",110,10813,1605,12528,2022-09-02
"75 - 79",130,10833,2695,13658,2022-09-02
"80 - 84",106,9214,3112,12432,2022-09-02
"85 - 89",84,6232,2396,8712,2022-09-02
">90",36,2981,1123,4140,2022-09-02
