"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1550,6,1592,2021-10-13
"20 - 24",2,557,3,562,2021-10-13
"25 - 29",8,916,2,926,2021-10-13
"30 - 34",12,1326,11,1349,2021-10-13
"35 - 39",13,1516,10,1539,2021-10-13
"40 - 44",13,1884,13,1910,2021-10-13
"45 - 49",19,3054,28,3101,2021-10-13
"50 - 54",27,4703,77,4807,2021-10-13
"55 - 59",33,5670,134,5837,2021-10-13
"60 - 64",28,5643,248,5919,2021-10-13
"65 - 69",31,5524,520,6075,2021-10-13
"70 - 74",48,6472,1091,7611,2021-10-13
"75 - 79",57,6073,1794,7924,2021-10-13
"80 - 84",53,4755,2056,6864,2021-10-13
"85 - 89",31,2941,1501,4473,2021-10-13
">90",19,1291,636,1946,2021-10-13
