"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,3656,12,3739,2022-04-28
"20 - 24",6,1038,3,1047,2022-04-28
"25 - 29",15,1772,3,1790,2022-04-28
"30 - 34",15,2469,15,2499,2022-04-28
"35 - 39",18,2526,15,2559,2022-04-28
"40 - 44",15,2786,22,2823,2022-04-28
"45 - 49",18,4062,41,4121,2022-04-28
"50 - 54",56,6209,111,6376,2022-04-28
"55 - 59",68,7562,193,7823,2022-04-28
"60 - 64",79,8041,373,8493,2022-04-28
"65 - 69",119,8214,749,9082,2022-04-28
"70 - 74",156,9797,1528,11481,2022-04-28
"75 - 79",171,9577,2570,12318,2022-04-28
"80 - 84",152,8032,2976,11160,2022-04-28
"85 - 89",141,5278,2262,7681,2022-04-28
">90",66,2443,1036,3545,2022-04-28
