"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",54,2129,11,2194,2022-01-15
"20 - 24",9,721,3,733,2022-01-15
"25 - 29",21,1218,3,1242,2022-01-15
"30 - 34",16,1761,13,1790,2022-01-15
"35 - 39",27,1948,12,1987,2022-01-15
"40 - 44",28,2314,18,2360,2022-01-15
"45 - 49",29,3591,31,3651,2022-01-15
"50 - 54",52,5467,93,5612,2022-01-15
"55 - 59",81,6583,161,6825,2022-01-15
"60 - 64",81,6824,313,7218,2022-01-15
"65 - 69",99,6788,657,7544,2022-01-15
"70 - 74",107,8007,1358,9472,2022-01-15
"75 - 79",160,7725,2277,10162,2022-01-15
"80 - 84",114,6201,2678,8993,2022-01-15
"85 - 89",69,3931,1995,5995,2022-01-15
">90",33,1761,858,2652,2022-01-15
