"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",95,3864,15,3974,2022-07-08
"20 - 24",9,1070,3,1082,2022-07-08
"25 - 29",15,1836,3,1854,2022-07-08
"30 - 34",20,2524,15,2559,2022-07-08
"35 - 39",10,2584,16,2610,2022-07-08
"40 - 44",19,2850,22,2891,2022-07-08
"45 - 49",21,4127,44,4192,2022-07-08
"50 - 54",41,6347,114,6502,2022-07-08
"55 - 59",65,7752,198,8015,2022-07-08
"60 - 64",87,8269,393,8749,2022-07-08
"65 - 69",94,8582,769,9445,2022-07-08
"70 - 74",134,10235,1556,11925,2022-07-08
"75 - 79",197,10078,2622,12897,2022-07-08
"80 - 84",178,8503,3037,11718,2022-07-08
"85 - 89",132,5694,2315,8141,2022-07-08
">90",70,2667,1074,3811,2022-07-08
