"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,3791,12,3879,2022-06-21
"20 - 24",7,1058,3,1068,2022-06-21
"25 - 29",12,1816,3,1831,2022-06-21
"30 - 34",12,2503,15,2530,2022-06-21
"35 - 39",11,2559,16,2586,2022-06-21
"40 - 44",18,2833,22,2873,2022-06-21
"45 - 49",19,4104,42,4165,2022-06-21
"50 - 54",44,6309,113,6466,2022-06-21
"55 - 59",46,7686,198,7930,2022-06-21
"60 - 64",61,8181,386,8628,2022-06-21
"65 - 69",86,8430,763,9279,2022-06-21
"70 - 74",97,10092,1545,11734,2022-06-21
"75 - 79",154,9891,2607,12652,2022-06-21
"80 - 84",126,8328,3019,11473,2022-06-21
"85 - 89",105,5551,2302,7958,2022-06-21
">90",53,2593,1060,3706,2022-06-21
