"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4787,19,4873,2023-02-24
"20 - 24",4,1208,4,1216,2023-02-24
"25 - 29",9,2067,3,2079,2023-02-24
"30 - 34",15,2808,17,2840,2023-02-24
"35 - 39",12,2857,18,2887,2023-02-24
"40 - 44",15,3124,24,3163,2023-02-24
"45 - 49",16,4443,49,4508,2023-02-24
"50 - 54",25,6879,129,7033,2023-02-24
"55 - 59",49,8524,237,8810,2023-02-24
"60 - 64",57,9415,435,9907,2023-02-24
"65 - 69",112,10182,873,11167,2023-02-24
"70 - 74",128,12390,1725,14243,2023-02-24
"75 - 79",153,12924,2915,15992,2023-02-24
"80 - 84",156,11277,3328,14761,2023-02-24
"85 - 89",130,7800,2606,10536,2023-02-24
">90",57,3814,1261,5132,2023-02-24
