"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4137,15,4214,2022-09-12
"20 - 24",5,1125,3,1133,2022-09-12
"25 - 29",15,1920,3,1938,2022-09-12
"30 - 34",13,2627,16,2656,2022-09-12
"35 - 39",12,2663,17,2692,2022-09-12
"40 - 44",17,2937,23,2977,2022-09-12
"45 - 49",15,4231,45,4291,2022-09-12
"50 - 54",42,6493,119,6654,2022-09-12
"55 - 59",41,7985,208,8234,2022-09-12
"60 - 64",52,8610,406,9068,2022-09-12
"65 - 69",69,9028,798,9895,2022-09-12
"70 - 74",82,10870,1609,12561,2022-09-12
"75 - 79",121,10906,2699,13726,2022-09-12
"80 - 84",113,9275,3118,12506,2022-09-12
"85 - 89",89,6275,2405,8769,2022-09-12
">90",40,3001,1127,4168,2022-09-12
