"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,2985,11,3079,2022-03-02
"20 - 24",10,923,3,936,2022-03-02
"25 - 29",31,1539,3,1573,2022-03-02
"30 - 34",28,2176,13,2217,2022-03-02
"35 - 39",31,2292,13,2336,2022-03-02
"40 - 44",24,2598,21,2643,2022-03-02
"45 - 49",30,3850,35,3915,2022-03-02
"50 - 54",56,5847,101,6004,2022-03-02
"55 - 59",64,7056,175,7295,2022-03-02
"60 - 64",101,7334,342,7777,2022-03-02
"65 - 69",140,7305,700,8145,2022-03-02
"70 - 74",175,8674,1422,10271,2022-03-02
"75 - 79",206,8350,2410,10966,2022-03-02
"80 - 84",169,6809,2820,9798,2022-03-02
"85 - 89",142,4367,2102,6611,2022-03-02
">90",48,1962,925,2935,2022-03-02
