"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4126,15,4201,2022-09-06
"20 - 24",5,1124,3,1132,2022-09-06
"25 - 29",13,1916,3,1932,2022-09-06
"30 - 34",15,2622,16,2653,2022-09-06
"35 - 39",10,2658,17,2685,2022-09-06
"40 - 44",14,2932,23,2969,2022-09-06
"45 - 49",17,4224,45,4286,2022-09-06
"50 - 54",40,6483,119,6642,2022-09-06
"55 - 59",39,7970,208,8217,2022-09-06
"60 - 64",50,8597,406,9053,2022-09-06
"65 - 69",74,9009,794,9877,2022-09-06
"70 - 74",98,10839,1606,12543,2022-09-06
"75 - 79",136,10857,2697,13690,2022-09-06
"80 - 84",108,9236,3115,12459,2022-09-06
"85 - 89",87,6251,2398,8736,2022-09-06
">90",38,2984,1126,4148,2022-09-06
