"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1603,6,1645,2021-10-26
"20 - 24",5,565,3,573,2021-10-26
"25 - 29",10,934,2,946,2021-10-26
"30 - 34",10,1361,11,1382,2021-10-26
"35 - 39",16,1536,10,1562,2021-10-26
"40 - 44",23,1907,13,1943,2021-10-26
"45 - 49",22,3097,28,3147,2021-10-26
"50 - 54",29,4739,77,4845,2021-10-26
"55 - 59",39,5721,135,5895,2021-10-26
"60 - 64",56,5694,251,6001,2021-10-26
"65 - 69",44,5579,524,6147,2021-10-26
"70 - 74",78,6531,1101,7710,2021-10-26
"75 - 79",100,6128,1801,8029,2021-10-26
"80 - 84",99,4816,2076,6991,2021-10-26
"85 - 89",77,2974,1518,4569,2021-10-26
">90",34,1314,647,1995,2021-10-26
