"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",70,4265,15,4350,2022-10-17
"20 - 24",5,1142,4,1151,2022-10-17
"25 - 29",17,1950,3,1970,2022-10-17
"30 - 34",19,2656,16,2691,2022-10-17
"35 - 39",15,2699,17,2731,2022-10-17
"40 - 44",28,2971,23,3022,2022-10-17
"45 - 49",17,4269,46,4332,2022-10-17
"50 - 54",48,6564,120,6732,2022-10-17
"55 - 59",51,8093,211,8355,2022-10-17
"60 - 64",69,8764,410,9243,2022-10-17
"65 - 69",151,9227,811,10189,2022-10-17
"70 - 74",166,11161,1625,12952,2022-10-17
"75 - 79",225,11299,2729,14253,2022-10-17
"80 - 84",221,9675,3159,13055,2022-10-17
"85 - 89",165,6569,2443,9177,2022-10-17
">90",93,3151,1150,4394,2022-10-17
