"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,4047,16,4138,2022-08-12
"20 - 24",6,1114,3,1123,2022-08-12
"25 - 29",13,1897,3,1913,2022-08-12
"30 - 34",16,2603,16,2635,2022-08-12
"35 - 39",12,2642,17,2671,2022-08-12
"40 - 44",16,2905,23,2944,2022-08-12
"45 - 49",10,4206,45,4261,2022-08-12
"50 - 54",37,6444,116,6597,2022-08-12
"55 - 59",56,7910,205,8171,2022-08-12
"60 - 64",64,8523,403,8990,2022-08-12
"65 - 69",87,8895,786,9768,2022-08-12
"70 - 74",128,10664,1591,12383,2022-08-12
"75 - 79",161,10638,2671,13470,2022-08-12
"80 - 84",153,9016,3089,12258,2022-08-12
"85 - 89",108,6080,2372,8560,2022-08-12
">90",59,2900,1110,4069,2022-08-12
