"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4431,17,4513,2022-11-14
"20 - 24",6,1175,4,1185,2022-11-14
"25 - 29",14,1985,3,2002,2022-11-14
"30 - 34",13,2710,16,2739,2022-11-14
"35 - 39",17,2759,17,2793,2022-11-14
"40 - 44",18,3018,24,3060,2022-11-14
"45 - 49",14,4318,47,4379,2022-11-14
"50 - 54",46,6665,123,6834,2022-11-14
"55 - 59",48,8228,219,8495,2022-11-14
"60 - 64",66,8950,414,9430,2022-11-14
"65 - 69",96,9529,827,10452,2022-11-14
"70 - 74",119,11542,1651,13312,2022-11-14
"75 - 79",182,11790,2787,14759,2022-11-14
"80 - 84",157,10146,3208,13511,2022-11-14
"85 - 89",112,6936,2482,9530,2022-11-14
">90",60,3345,1183,4588,2022-11-14
