"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4113,15,4190,2022-08-31
"20 - 24",6,1122,3,1131,2022-08-31
"25 - 29",12,1916,3,1931,2022-08-31
"30 - 34",12,2622,16,2650,2022-08-31
"35 - 39",10,2655,17,2682,2022-08-31
"40 - 44",19,2925,23,2967,2022-08-31
"45 - 49",20,4217,45,4282,2022-08-31
"50 - 54",35,6480,118,6633,2022-08-31
"55 - 59",43,7952,207,8202,2022-08-31
"60 - 64",52,8588,406,9046,2022-08-31
"65 - 69",71,8986,793,9850,2022-08-31
"70 - 74",109,10807,1605,12521,2022-08-31
"75 - 79",135,10815,2694,13644,2022-08-31
"80 - 84",110,9198,3111,12419,2022-08-31
"85 - 89",83,6227,2393,8703,2022-08-31
">90",35,2975,1124,4134,2022-08-31
