"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,3686,12,3763,2022-05-06
"20 - 24",4,1041,3,1048,2022-05-06
"25 - 29",15,1781,3,1799,2022-05-06
"30 - 34",13,2477,15,2505,2022-05-06
"35 - 39",17,2528,16,2561,2022-05-06
"40 - 44",19,2791,22,2832,2022-05-06
"45 - 49",17,4064,41,4122,2022-05-06
"50 - 54",45,6238,110,6393,2022-05-06
"55 - 59",56,7593,198,7847,2022-05-06
"60 - 64",73,8070,375,8518,2022-05-06
"65 - 69",93,8265,752,9110,2022-05-06
"70 - 74",125,9872,1531,11528,2022-05-06
"75 - 79",156,9644,2579,12379,2022-05-06
"80 - 84",126,8092,2989,11207,2022-05-06
"85 - 89",127,5331,2271,7729,2022-05-06
">90",57,2470,1039,3566,2022-05-06
