"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1634,6,1680,2021-11-03
"20 - 24",9,578,3,590,2021-11-03
"25 - 29",15,949,2,966,2021-11-03
"30 - 34",21,1382,11,1414,2021-11-03
"35 - 39",18,1556,10,1584,2021-11-03
"40 - 44",38,1929,13,1980,2021-11-03
"45 - 49",27,3121,28,3176,2021-11-03
"50 - 54",46,4767,77,4890,2021-11-03
"55 - 59",39,5765,138,5942,2021-11-03
"60 - 64",69,5749,255,6073,2021-11-03
"65 - 69",90,5619,527,6236,2021-11-03
"70 - 74",128,6585,1110,7823,2021-11-03
"75 - 79",174,6212,1820,8206,2021-11-03
"80 - 84",162,4875,2104,7141,2021-11-03
"85 - 89",117,3011,1552,4680,2021-11-03
">90",57,1336,662,2055,2021-11-03
