"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4772,19,4860,2023-02-20
"20 - 24",2,1208,4,1214,2023-02-20
"25 - 29",8,2063,3,2074,2023-02-20
"30 - 34",18,2805,17,2840,2023-02-20
"35 - 39",18,2849,18,2885,2023-02-20
"40 - 44",15,3122,24,3161,2023-02-20
"45 - 49",14,4438,49,4501,2023-02-20
"50 - 54",26,6872,129,7027,2023-02-20
"55 - 59",50,8515,235,8800,2023-02-20
"60 - 64",49,9404,435,9888,2023-02-20
"65 - 69",93,10155,868,11116,2023-02-20
"70 - 74",93,12366,1722,14181,2023-02-20
"75 - 79",147,12876,2908,15931,2023-02-20
"80 - 84",139,11235,3324,14698,2023-02-20
"85 - 89",116,7766,2604,10486,2023-02-20
">90",51,3795,1257,5103,2023-02-20
