"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",70,3655,12,3737,2022-04-26
"20 - 24",4,1038,3,1045,2022-04-26
"25 - 29",16,1769,3,1788,2022-04-26
"30 - 34",15,2467,15,2497,2022-04-26
"35 - 39",16,2523,15,2554,2022-04-26
"40 - 44",16,2785,22,2823,2022-04-26
"45 - 49",18,4059,41,4118,2022-04-26
"50 - 54",56,6205,110,6371,2022-04-26
"55 - 59",64,7556,193,7813,2022-04-26
"60 - 64",94,8020,373,8487,2022-04-26
"65 - 69",130,8195,749,9074,2022-04-26
"70 - 74",152,9778,1528,11458,2022-04-26
"75 - 79",191,9542,2565,12298,2022-04-26
"80 - 84",166,8003,2977,11146,2022-04-26
"85 - 89",145,5267,2260,7672,2022-04-26
">90",70,2435,1032,3537,2022-04-26
