"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,4639,19,4733,2023-01-06
"20 - 24",3,1194,4,1201,2023-01-06
"25 - 29",15,2036,3,2054,2023-01-06
"30 - 34",20,2770,17,2807,2023-01-06
"35 - 39",16,2817,18,2851,2023-01-06
"40 - 44",20,3077,24,3121,2023-01-06
"45 - 49",18,4402,48,4468,2023-01-06
"50 - 54",36,6802,126,6964,2023-01-06
"55 - 59",54,8399,227,8680,2023-01-06
"60 - 64",69,9248,427,9744,2023-01-06
"65 - 69",115,9891,850,10856,2023-01-06
"70 - 74",137,12037,1688,13862,2023-01-06
"75 - 79",194,12433,2851,15478,2023-01-06
"80 - 84",172,10792,3271,14235,2023-01-06
"85 - 89",175,7419,2551,10145,2023-01-06
">90",68,3615,1225,4908,2023-01-06
