"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",70,2206,12,2288,2022-01-22
"20 - 24",18,741,3,762,2022-01-22
"25 - 29",32,1258,3,1293,2022-01-22
"30 - 34",22,1796,13,1831,2022-01-22
"35 - 39",28,1984,12,2024,2022-01-22
"40 - 44",33,2348,18,2399,2022-01-22
"45 - 49",25,3623,31,3679,2022-01-22
"50 - 54",53,5512,93,5658,2022-01-22
"55 - 59",66,6655,162,6883,2022-01-22
"60 - 64",68,6885,320,7273,2022-01-22
"65 - 69",76,6851,662,7589,2022-01-22
"70 - 74",100,8069,1363,9532,2022-01-22
"75 - 79",126,7808,2306,10240,2022-01-22
"80 - 84",94,6272,2697,9063,2022-01-22
"85 - 89",70,3971,2004,6045,2022-01-22
">90",26,1780,869,2675,2022-01-22
