"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1307,6,1353,2021-07-20
"20 - 24",8,450,3,461,2021-07-20
"25 - 29",13,737,2,752,2021-07-20
"30 - 34",14,1103,10,1127,2021-07-20
"35 - 39",24,1291,11,1326,2021-07-20
"40 - 44",18,1634,12,1664,2021-07-20
"45 - 49",17,2786,25,2828,2021-07-20
"50 - 54",43,4357,73,4473,2021-07-20
"55 - 59",34,5345,128,5507,2021-07-20
"60 - 64",31,5351,241,5623,2021-07-20
"65 - 69",27,5303,504,5834,2021-07-20
"70 - 74",24,6259,1057,7340,2021-07-20
"75 - 79",30,5860,1724,7614,2021-07-20
"80 - 84",29,4564,1960,6553,2021-07-20
"85 - 89",15,2796,1447,4258,2021-07-20
">90",10,1222,602,1834,2021-07-20
