"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,1699,10,1768,2021-11-17
"20 - 24",6,599,3,608,2021-11-17
"25 - 29",19,989,2,1010,2021-11-17
"30 - 34",24,1439,11,1474,2021-11-17
"35 - 39",29,1615,10,1654,2021-11-17
"40 - 44",25,1999,14,2038,2021-11-17
"45 - 49",45,3193,28,3266,2021-11-17
"50 - 54",65,4863,78,5006,2021-11-17
"55 - 59",71,5860,140,6071,2021-11-17
"60 - 64",115,5886,260,6261,2021-11-17
"65 - 69",144,5784,546,6474,2021-11-17
"70 - 74",198,6780,1145,8123,2021-11-17
"75 - 79",263,6429,1893,8585,2021-11-17
"80 - 84",282,5091,2193,7566,2021-11-17
"85 - 89",195,3188,1618,5001,2021-11-17
">90",87,1407,696,2190,2021-11-17
