"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,3698,12,3772,2022-05-11
"20 - 24",3,1044,3,1050,2022-05-11
"25 - 29",15,1785,3,1803,2022-05-11
"30 - 34",13,2480,15,2508,2022-05-11
"35 - 39",15,2534,16,2565,2022-05-11
"40 - 44",15,2799,22,2836,2022-05-11
"45 - 49",17,4071,41,4129,2022-05-11
"50 - 54",37,6251,113,6401,2022-05-11
"55 - 59",45,7607,198,7850,2022-05-11
"60 - 64",68,8092,377,8537,2022-05-11
"65 - 69",85,8287,753,9125,2022-05-11
"70 - 74",105,9915,1534,11554,2022-05-11
"75 - 79",141,9690,2583,12414,2022-05-11
"80 - 84",122,8133,2995,11250,2022-05-11
"85 - 89",111,5378,2275,7764,2022-05-11
">90",46,2495,1044,3585,2022-05-11
