"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",85,2536,14,2635,2022-02-05
"20 - 24",23,808,3,834,2022-02-05
"25 - 29",37,1377,3,1417,2022-02-05
"30 - 34",41,1943,13,1997,2022-02-05
"35 - 39",40,2112,12,2164,2022-02-05
"40 - 44",31,2439,19,2489,2022-02-05
"45 - 49",37,3702,32,3771,2022-02-05
"50 - 54",66,5615,95,5776,2022-02-05
"55 - 59",83,6781,168,7032,2022-02-05
"60 - 64",88,7032,329,7449,2022-02-05
"65 - 69",113,6970,674,7757,2022-02-05
"70 - 74",149,8225,1386,9760,2022-02-05
"75 - 79",187,7968,2335,10490,2022-02-05
"80 - 84",159,6412,2731,9302,2022-02-05
"85 - 89",121,4070,2031,6222,2022-02-05
">90",43,1827,880,2750,2022-02-05
