"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4660,19,4743,2023-01-12
"20 - 24",3,1195,4,1202,2023-01-12
"25 - 29",15,2038,3,2056,2023-01-12
"30 - 34",14,2780,17,2811,2023-01-12
"35 - 39",17,2823,18,2858,2023-01-12
"40 - 44",19,3085,24,3128,2023-01-12
"45 - 49",19,4408,48,4475,2023-01-12
"50 - 54",30,6814,126,6970,2023-01-12
"55 - 59",50,8415,229,8694,2023-01-12
"60 - 64",58,9283,427,9768,2023-01-12
"65 - 69",102,9943,854,10899,2023-01-12
"70 - 74",140,12097,1692,13929,2023-01-12
"75 - 79",177,12511,2859,15547,2023-01-12
"80 - 84",167,10859,3276,14302,2023-01-12
"85 - 89",152,7489,2561,10202,2023-01-12
">90",67,3638,1232,4937,2023-01-12
