"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4751,19,4837,2023-02-17
"20 - 24",3,1204,4,1211,2023-02-17
"25 - 29",10,2062,3,2075,2023-02-17
"30 - 34",19,2799,17,2835,2023-02-17
"35 - 39",12,2849,18,2879,2023-02-17
"40 - 44",16,3119,24,3159,2023-02-17
"45 - 49",12,4436,49,4497,2023-02-17
"50 - 54",23,6871,128,7022,2023-02-17
"55 - 59",52,8506,235,8793,2023-02-17
"60 - 64",47,9396,434,9877,2023-02-17
"65 - 69",87,10143,868,11098,2023-02-17
"70 - 74",83,12351,1720,14154,2023-02-17
"75 - 79",129,12856,2903,15888,2023-02-17
"80 - 84",133,11209,3322,14664,2023-02-17
"85 - 89",108,7760,2597,10465,2023-02-17
">90",51,3778,1256,5085,2023-02-17
