"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",54,1747,10,1811,2021-11-22
"20 - 24",6,607,3,616,2021-11-22
"25 - 29",21,1010,2,1033,2021-11-22
"30 - 34",32,1466,12,1510,2021-11-22
"35 - 39",37,1647,10,1694,2021-11-22
"40 - 44",42,2017,15,2074,2021-11-22
"45 - 49",51,3224,28,3303,2021-11-22
"50 - 54",80,4907,79,5066,2021-11-22
"55 - 59",78,5921,143,6142,2021-11-22
"60 - 64",137,5966,266,6369,2021-11-22
"65 - 69",193,5855,552,6600,2021-11-22
"70 - 74",244,6883,1159,8286,2021-11-22
"75 - 79",298,6545,1937,8780,2021-11-22
"80 - 84",315,5190,2251,7756,2021-11-22
"85 - 89",217,3260,1665,5142,2021-11-22
">90",105,1439,716,2260,2021-11-22
