"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4660,18,4742,2023-01-11
"20 - 24",3,1195,4,1202,2023-01-11
"25 - 29",15,2037,3,2055,2023-01-11
"30 - 34",16,2777,17,2810,2023-01-11
"35 - 39",15,2822,18,2855,2023-01-11
"40 - 44",19,3084,24,3127,2023-01-11
"45 - 49",18,4407,48,4473,2023-01-11
"50 - 54",32,6813,125,6970,2023-01-11
"55 - 59",53,8412,229,8694,2023-01-11
"60 - 64",56,9283,427,9766,2023-01-11
"65 - 69",105,9935,853,10893,2023-01-11
"70 - 74",146,12085,1690,13921,2023-01-11
"75 - 79",174,12502,2859,15535,2023-01-11
"80 - 84",165,10845,3275,14285,2023-01-11
"85 - 89",161,7478,2560,10199,2023-01-11
">90",69,3633,1232,4934,2023-01-11
