"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",79,3535,12,3626,2022-04-07
"20 - 24",7,1024,3,1034,2022-04-07
"25 - 29",15,1736,3,1754,2022-04-07
"30 - 34",24,2417,15,2456,2022-04-07
"35 - 39",24,2502,14,2540,2022-04-07
"40 - 44",27,2755,22,2804,2022-04-07
"45 - 49",34,4015,41,4090,2022-04-07
"50 - 54",60,6136,109,6305,2022-04-07
"55 - 59",85,7453,187,7725,2022-04-07
"60 - 64",117,7857,364,8338,2022-04-07
"65 - 69",173,7975,737,8885,2022-04-07
"70 - 74",235,9483,1504,11222,2022-04-07
"75 - 79",273,9234,2522,12029,2022-04-07
"80 - 84",252,7707,2944,10903,2022-04-07
"85 - 89",183,5044,2228,7455,2022-04-07
">90",108,2314,1001,3423,2022-04-07
