"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,2111,11,2179,2022-01-12
"20 - 24",11,713,3,727,2022-01-12
"25 - 29",21,1203,3,1227,2022-01-12
"30 - 34",24,1742,13,1779,2022-01-12
"35 - 39",33,1934,12,1979,2022-01-12
"40 - 44",24,2303,17,2344,2022-01-12
"45 - 49",33,3581,31,3645,2022-01-12
"50 - 54",64,5446,91,5601,2022-01-12
"55 - 59",82,6557,161,6800,2022-01-12
"60 - 64",91,6795,313,7199,2022-01-12
"65 - 69",109,6752,654,7515,2022-01-12
"70 - 74",124,7970,1356,9450,2022-01-12
"75 - 79",179,7685,2276,10140,2022-01-12
"80 - 84",120,6175,2670,8965,2022-01-12
"85 - 89",79,3911,1988,5978,2022-01-12
">90",39,1749,856,2644,2022-01-12
