"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,4191,15,4267,2022-09-29
"20 - 24",8,1131,4,1143,2022-09-29
"25 - 29",14,1932,3,1949,2022-09-29
"30 - 34",13,2636,16,2665,2022-09-29
"35 - 39",15,2675,17,2707,2022-09-29
"40 - 44",21,2955,23,2999,2022-09-29
"45 - 49",11,4246,45,4302,2022-09-29
"50 - 54",42,6525,120,6687,2022-09-29
"55 - 59",47,8024,209,8280,2022-09-29
"60 - 64",61,8659,405,9125,2022-09-29
"65 - 69",92,9093,802,9987,2022-09-29
"70 - 74",118,10961,1614,12693,2022-09-29
"75 - 79",163,11032,2706,13901,2022-09-29
"80 - 84",149,9407,3132,12688,2022-09-29
"85 - 89",119,6369,2415,8903,2022-09-29
">90",60,3055,1131,4246,2022-09-29
