"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,1808,11,1884,2021-11-30
"20 - 24",10,620,3,633,2021-11-30
"25 - 29",19,1043,2,1064,2021-11-30
"30 - 34",25,1514,12,1551,2021-11-30
"35 - 39",51,1691,11,1753,2021-11-30
"40 - 44",51,2056,16,2123,2021-11-30
"45 - 49",62,3289,30,3381,2021-11-30
"50 - 54",97,4985,80,5162,2021-11-30
"55 - 59",111,6016,148,6275,2021-11-30
"60 - 64",147,6109,275,6531,2021-11-30
"65 - 69",208,5990,568,6766,2021-11-30
"70 - 74",294,7055,1193,8542,2021-11-30
"75 - 79",347,6729,2002,9078,2021-11-30
"80 - 84",321,5396,2344,8061,2021-11-30
"85 - 89",230,3384,1736,5350,2021-11-30
">90",102,1503,743,2348,2021-11-30
