"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",72,3762,13,3847,2022-06-14
"20 - 24",7,1053,3,1063,2022-06-14
"25 - 29",11,1811,3,1825,2022-06-14
"30 - 34",12,2498,15,2525,2022-06-14
"35 - 39",12,2555,16,2583,2022-06-14
"40 - 44",19,2824,22,2865,2022-06-14
"45 - 49",16,4095,42,4153,2022-06-14
"50 - 54",39,6302,113,6454,2022-06-14
"55 - 59",42,7667,198,7907,2022-06-14
"60 - 64",48,8165,385,8598,2022-06-14
"65 - 69",70,8408,762,9240,2022-06-14
"70 - 74",85,10057,1543,11685,2022-06-14
"75 - 79",133,9841,2603,12577,2022-06-14
"80 - 84",107,8292,3017,11416,2022-06-14
"85 - 89",96,5516,2296,7908,2022-06-14
">90",44,2570,1057,3671,2022-06-14
