"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4436,16,4516,2022-11-17
"20 - 24",5,1176,4,1185,2022-11-17
"25 - 29",11,1990,3,2004,2022-11-17
"30 - 34",11,2713,16,2740,2022-11-17
"35 - 39",16,2763,17,2796,2022-11-17
"40 - 44",20,3021,24,3065,2022-11-17
"45 - 49",13,4323,47,4383,2022-11-17
"50 - 54",42,6672,124,6838,2022-11-17
"55 - 59",44,8238,219,8501,2022-11-17
"60 - 64",69,8960,415,9444,2022-11-17
"65 - 69",91,9544,827,10462,2022-11-17
"70 - 74",124,11564,1651,13339,2022-11-17
"75 - 79",173,11835,2787,14795,2022-11-17
"80 - 84",151,10181,3212,13544,2022-11-17
"85 - 89",103,6956,2485,9544,2022-11-17
">90",57,3365,1184,4606,2022-11-17
