"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1588,6,1636,2021-10-22
"20 - 24",2,559,3,564,2021-10-22
"25 - 29",9,931,2,942,2021-10-22
"30 - 34",10,1345,11,1366,2021-10-22
"35 - 39",14,1529,10,1553,2021-10-22
"40 - 44",14,1899,13,1926,2021-10-22
"45 - 49",26,3077,28,3131,2021-10-22
"50 - 54",31,4724,77,4832,2021-10-22
"55 - 59",41,5700,135,5876,2021-10-22
"60 - 64",36,5685,251,5972,2021-10-22
"65 - 69",48,5554,523,6125,2021-10-22
"70 - 74",66,6510,1098,7674,2021-10-22
"75 - 79",63,6115,1799,7977,2021-10-22
"80 - 84",89,4791,2066,6946,2021-10-22
"85 - 89",60,2963,1510,4533,2021-10-22
">90",27,1305,643,1975,2021-10-22
