"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,1711,10,1786,2021-11-18
"20 - 24",4,600,3,607,2021-11-18
"25 - 29",23,990,2,1015,2021-11-18
"30 - 34",19,1449,11,1479,2021-11-18
"35 - 39",30,1623,10,1663,2021-11-18
"40 - 44",26,2004,14,2044,2021-11-18
"45 - 49",47,3198,28,3273,2021-11-18
"50 - 54",62,4870,78,5010,2021-11-18
"55 - 59",70,5871,140,6081,2021-11-18
"60 - 64",114,5902,261,6277,2021-11-18
"65 - 69",147,5799,547,6493,2021-11-18
"70 - 74",196,6808,1145,8149,2021-11-18
"75 - 79",277,6451,1898,8626,2021-11-18
"80 - 84",274,5116,2204,7594,2021-11-18
"85 - 89",189,3205,1623,5017,2021-11-18
">90",86,1412,699,2197,2021-11-18
