"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",54,4153,15,4222,2022-09-16
"20 - 24",5,1126,3,1134,2022-09-16
"25 - 29",13,1923,3,1939,2022-09-16
"30 - 34",14,2627,16,2657,2022-09-16
"35 - 39",14,2668,17,2699,2022-09-16
"40 - 44",19,2940,23,2982,2022-09-16
"45 - 49",11,4237,45,4293,2022-09-16
"50 - 54",38,6502,119,6659,2022-09-16
"55 - 59",38,7994,208,8240,2022-09-16
"60 - 64",50,8621,405,9076,2022-09-16
"65 - 69",68,9045,799,9912,2022-09-16
"70 - 74",89,10886,1609,12584,2022-09-16
"75 - 79",113,10941,2701,13755,2022-09-16
"80 - 84",101,9309,3120,12530,2022-09-16
"85 - 89",90,6296,2407,8793,2022-09-16
">90",46,3009,1128,4183,2022-09-16
