"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1552,6,1599,2021-10-14
"20 - 24",1,558,3,562,2021-10-14
"25 - 29",10,916,2,928,2021-10-14
"30 - 34",13,1328,11,1352,2021-10-14
"35 - 39",10,1520,10,1540,2021-10-14
"40 - 44",12,1888,13,1913,2021-10-14
"45 - 49",18,3058,28,3104,2021-10-14
"50 - 54",30,4703,77,4810,2021-10-14
"55 - 59",35,5673,134,5842,2021-10-14
"60 - 64",29,5647,248,5924,2021-10-14
"65 - 69",27,5531,521,6079,2021-10-14
"70 - 74",53,6473,1091,7617,2021-10-14
"75 - 79",53,6080,1795,7928,2021-10-14
"80 - 84",61,4757,2058,6876,2021-10-14
"85 - 89",36,2943,1501,4480,2021-10-14
">90",20,1292,636,1948,2021-10-14
