"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",80,3608,11,3699,2022-04-17
"20 - 24",5,1031,3,1039,2022-04-17
"25 - 29",19,1756,3,1778,2022-04-17
"30 - 34",17,2448,15,2480,2022-04-17
"35 - 39",22,2515,14,2551,2022-04-17
"40 - 44",22,2775,22,2819,2022-04-17
"45 - 49",25,4042,41,4108,2022-04-17
"50 - 54",55,6173,109,6337,2022-04-17
"55 - 59",70,7510,192,7772,2022-04-17
"60 - 64",109,7954,367,8430,2022-04-17
"65 - 69",136,8110,741,8987,2022-04-17
"70 - 74",187,9659,1519,11365,2022-04-17
"75 - 79",220,9422,2545,12187,2022-04-17
"80 - 84",205,7889,2957,11051,2022-04-17
"85 - 89",161,5168,2242,7571,2022-04-17
">90",85,2381,1014,3480,2022-04-17
